,学习率,最大树深度,最小采样叶子节点,样本采样率,最大叶子节点,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,13
773,0.01,5,8,0.75,8,0.643659249,0.837229617,0.139941251,0.252226771,0.371169474,0.192755419,0.083661572,0.129575403,automl\GBM_AutoMl_773
823,0.01,5,9,0.75,8,0.643659249,0.837229617,0.139941251,0.252226771,0.371169474,0.192755419,0.083661572,0.129575403,automl\GBM_AutoMl_823
873,0.01,5,10,0.75,8,0.643659249,0.837229617,0.139941251,0.252226771,0.371169474,0.192755419,0.083661572,0.129575403,automl\GBM_AutoMl_873
1367,0.01,7,8,0.625,12,0.643439686,0.791518846,0.148741704,0.206737281,0.337872955,0.141169444,0.091696865,0.137718883,automl\GBM_AutoMl_1367
301,0.01,4,5,0.5,6,0.643403438,0.838444345,0.14089213,0.218377341,0.405523365,0.124804328,0.059398141,0.094438878,automl\GBM_AutoMl_301
351,0.01,4,6,0.5,6,0.643403438,0.838444345,0.14089213,0.218377341,0.405523365,0.124804328,0.059398141,0.094438878,automl\GBM_AutoMl_351
401,0.01,4,7,0.5,6,0.643403438,0.838444345,0.14089213,0.218377341,0.405523365,0.124804328,0.059398141,0.094438878,automl\GBM_AutoMl_401
451,0.01,4,8,0.5,6,0.643403438,0.838444345,0.14089213,0.218377341,0.405523365,0.124804328,0.059398141,0.094438878,automl\GBM_AutoMl_451
501,0.01,4,9,0.5,6,0.643403438,0.838444345,0.14089213,0.218377341,0.405523365,0.124804328,0.059398141,0.094438878,automl\GBM_AutoMl_501
551,0.01,4,10,0.5,6,0.643403438,0.838444345,0.14089213,0.218377341,0.405523365,0.124804328,0.059398141,0.094438878,automl\GBM_AutoMl_551
923,0.01,6,5,0.75,8,0.643347491,0.839564056,0.141200096,0.233745058,0.366063491,0.167585841,0.069166535,0.10877106,automl\GBM_AutoMl_923
973,0.01,6,6,0.75,8,0.643347491,0.839564056,0.141200096,0.233745058,0.366063491,0.167585841,0.069166535,0.10877106,automl\GBM_AutoMl_973
1023,0.01,6,7,0.75,8,0.643347491,0.839564056,0.141200096,0.233745058,0.366063491,0.167585841,0.069166535,0.10877106,automl\GBM_AutoMl_1023
1073,0.01,6,8,0.75,8,0.643347491,0.839564056,0.141200096,0.233745058,0.366063491,0.167585841,0.069166535,0.10877106,automl\GBM_AutoMl_1073
1123,0.01,6,9,0.75,8,0.643347491,0.839564056,0.141200096,0.233745058,0.366063491,0.167585841,0.069166535,0.10877106,automl\GBM_AutoMl_1123
1173,0.01,6,10,0.75,8,0.643347491,0.839564056,0.141200096,0.233745058,0.366063491,0.167585841,0.069166535,0.10877106,automl\GBM_AutoMl_1173
1236,0.01,7,5,0.875,11,0.643261825,0.80820304,0.149764545,0.231546873,0.345057798,0.174791411,0.096738617,0.146155677,automl\GBM_AutoMl_1236
1286,0.01,7,6,0.875,11,0.643261825,0.80820304,0.149764545,0.231546873,0.345057798,0.174791411,0.096738617,0.146155677,automl\GBM_AutoMl_1286
1336,0.01,7,7,0.875,11,0.643261825,0.80820304,0.149764545,0.231546873,0.345057798,0.174791411,0.096738617,0.146155677,automl\GBM_AutoMl_1336
1386,0.01,7,8,0.875,11,0.643261825,0.80820304,0.149764545,0.231546873,0.345057798,0.174791411,0.096738617,0.146155677,automl\GBM_AutoMl_1386
1436,0.01,7,9,0.875,11,0.643261825,0.80820304,0.149764545,0.231546873,0.345057798,0.174791411,0.096738617,0.146155677,automl\GBM_AutoMl_1436
1486,0.01,7,10,0.875,11,0.643261825,0.80820304,0.149764545,0.231546873,0.345057798,0.174791411,0.096738617,0.146155677,automl\GBM_AutoMl_1486
1068,0.01,6,8,0.625,13,0.643069072,0.787237241,0.149062148,0.244313411,0.380456796,0.159223795,0.121632267,0.178414606,automl\GBM_AutoMl_1068
902,0.01,6,5,0.5,7,0.643063936,0.84278519,0.142605138,0.226637291,0.388186965,0.145862454,0.062234126,0.098712983,automl\GBM_AutoMl_902
952,0.01,6,6,0.5,7,0.643063936,0.84278519,0.142605138,0.226637291,0.388186965,0.145862454,0.062234126,0.098712983,automl\GBM_AutoMl_952
1002,0.01,6,7,0.5,7,0.643063936,0.84278519,0.142605138,0.226637291,0.388186965,0.145862454,0.062234126,0.098712983,automl\GBM_AutoMl_1002
1052,0.01,6,8,0.5,7,0.643063936,0.84278519,0.142605138,0.226637291,0.388186965,0.145862454,0.062234126,0.098712983,automl\GBM_AutoMl_1052
1102,0.01,6,9,0.5,7,0.643063936,0.84278519,0.142605138,0.226637291,0.388186965,0.145862454,0.062234126,0.098712983,automl\GBM_AutoMl_1102
1152,0.01,6,10,0.5,7,0.643063936,0.84278519,0.142605138,0.226637291,0.388186965,0.145862454,0.062234126,0.098712983,automl\GBM_AutoMl_1152
1202,0.01,7,5,0.5,7,0.643063936,0.84278519,0.142605138,0.226637291,0.388186965,0.145862454,0.062234126,0.098712983,automl\GBM_AutoMl_1202
