,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,16
2422,0.055,5,0.3,1,0.733333333,0.6,0.8,0.755570415,0.870793666,0.121546044,0.181460241,0.239025628,0.129651392,0.381597605,0.454494277,automl\Xgboost_AutoMl_2422
5114,0.1,6,0.7,0.866666667,0.6,0.6,1,0.785692045,0.870792674,0.1230947,0.150016254,0.179311767,0.123650293,0.509059398,0.545086461,automl\Xgboost_AutoMl_5114
5118,0.1,6,0.7,0.866666667,0.6,1,0.6,0.785692045,0.870792674,0.1230947,0.150016254,0.179311767,0.123650293,0.509059398,0.545086461,automl\Xgboost_AutoMl_5118
2396,0.055,5,0.3,0.866666667,0.866666667,0.6,1,0.764162642,0.870761158,0.121459808,0.133760204,0.164520722,0.10915179,0.36584213,0.441109422,automl\Xgboost_AutoMl_2396
2400,0.055,5,0.3,0.866666667,0.866666667,1,0.6,0.764162642,0.870761158,0.121459808,0.133760204,0.164520722,0.10915179,0.36584213,0.441109422,automl\Xgboost_AutoMl_2400
3034,0.055,6,0.433333333,0.6,0.733333333,0.6,0.8,0.785885795,0.870759953,0.122905437,0.139551378,0.171109001,0.114305279,0.495352135,0.535240041,automl\Xgboost_AutoMl_3034
1098,0.01,5,0.7,0.866666667,0.866666667,0.6,0.6,0.707880029,0.870728141,0.154876235,0.251790103,0.337908435,0.208730938,0.286434536,0.367458312,automl\Xgboost_AutoMl_1098
3163,0.055,6,0.433333333,1,1,0.8,0.8,0.770005825,0.870713959,0.11895005,0.135546824,0.19659398,0.080604384,0.389160233,0.463806215,automl\Xgboost_AutoMl_3163
775,0.01,5,0.433333333,0.733333333,0.866666667,0.6,0.8,0.729127091,0.870702046,0.154638699,0.269273494,0.315581927,0.246119278,0.390420671,0.46971851,automl\Xgboost_AutoMl_775
35,0.01,4,0.3,0.6,1,1,1,0.722928389,0.870699031,0.155575004,0.234447956,0.271638469,0.2158527,0.327398771,0.411037484,automl\Xgboost_AutoMl_35
179,0.01,4,0.433333333,0.6,1,1,1,0.722928389,0.870699031,0.155575004,0.234447956,0.271638469,0.2158527,0.327398771,0.411037484,automl\Xgboost_AutoMl_179
4198,0.1,5,0.433333333,0.6,0.866666667,0.8,0.8,0.803852473,0.87068689,0.121945194,0.120759794,0.132362631,0.110317241,0.546242319,0.587427991,automl\Xgboost_AutoMl_4198
631,0.01,5,0.3,0.733333333,0.866666667,0.6,0.8,0.729056546,0.870657384,0.154714194,0.269435515,0.316264255,0.246021145,0.390420671,0.46971851,automl\Xgboost_AutoMl_631
2258,0.055,4,0.7,0.866666667,0.866666667,1,1,0.760116129,0.870635856,0.121311158,0.135689451,0.159858155,0.116354489,0.347408224,0.426829268,automl\Xgboost_AutoMl_2258
4145,0.1,5,0.3,1,0.6,0.8,1,0.807879902,0.870536189,0.120008697,0.103094834,0.097840953,0.107823326,0.554592721,0.584086949,automl\Xgboost_AutoMl_4145
4147,0.1,5,0.3,1,0.6,1,0.8,0.807879902,0.870536189,0.120008697,0.103094834,0.097840953,0.107823326,0.554592721,0.584086949,automl\Xgboost_AutoMl_4147
3195,0.055,6,0.566666667,0.6,1,0.6,0.6,0.777557645,0.870532669,0.123782447,0.149723867,0.1831662,0.122970002,0.459272097,0.513204225,automl\Xgboost_AutoMl_3195
2573,0.055,5,0.433333333,1,0.733333333,1,1,0.773871215,0.870530862,0.118879249,0.120923632,0.14606962,0.098292243,0.388530014,0.464756879,automl\Xgboost_AutoMl_2573
