,学习率,叶子节点数量,叶子节点最小样本数量,子采样率,特征采样率,最大深度,max_bin,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,15,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,24
2072,0.95,11,12,0.7,0.5,8,100,0.885725052,0.949483251,0.085181382,0.111441054,0.067509804,0.125480408,0.854261856,0.774737444,automl\lightGBM_AutoMl2021_2072,0.791569892,0.880627838,0.097819449,0.091082948,0.140113131,0.081149355,0.615799698,0.582007344,automl\lightGBM_AutoMl2023_2072
2114,0.95,11,12,0.8,0.5,8,100,0.885725052,0.949483251,0.085181382,0.111441054,0.067509804,0.125480408,0.854261856,0.774737444,automl\lightGBM_AutoMl2021_2114,0.791569892,0.880627838,0.097819449,0.091082948,0.140113131,0.081149355,0.615799698,0.582007344,automl\lightGBM_AutoMl2023_2114
2156,0.95,11,12,1,0.5,8,100,0.885725052,0.949483251,0.085181382,0.111441054,0.067509804,0.125480408,0.854261856,0.774737444,automl\lightGBM_AutoMl2021_2156,0.791569892,0.880627838,0.097819449,0.091082948,0.140113131,0.081149355,0.615799698,0.582007344,automl\lightGBM_AutoMl2023_2156
2191,0.95,11,14,0.6,0.5,6,60,0.885077876,0.946091339,0.098489002,0.144713182,0.078986991,0.168146096,0.903576493,0.7829886,automl\lightGBM_AutoMl2021_2191,0.778408365,0.855636119,0.112507785,0.119845898,0.203957286,0.101190192,0.655730628,0.595394415,automl\lightGBM_AutoMl2023_2191
2233,0.95,11,14,0.7,0.5,6,60,0.885077876,0.946091339,0.098489002,0.144713182,0.078986991,0.168146096,0.903576493,0.7829886,automl\lightGBM_AutoMl2021_2233,0.778408365,0.855636119,0.112507785,0.119845898,0.203957286,0.101190192,0.655730628,0.595394415,automl\lightGBM_AutoMl2023_2233
2275,0.95,11,14,0.8,0.5,6,60,0.885077876,0.946091339,0.098489002,0.144713182,0.078986991,0.168146096,0.903576493,0.7829886,automl\lightGBM_AutoMl2021_2275,0.778408365,0.855636119,0.112507785,0.119845898,0.203957286,0.101190192,0.655730628,0.595394415,automl\lightGBM_AutoMl2023_2275
2317,0.95,11,14,1,0.5,6,60,0.885077876,0.946091339,0.098489002,0.144713182,0.078986991,0.168146096,0.903576493,0.7829886,automl\lightGBM_AutoMl2021_2317,0.778408365,0.855636119,0.112507785,0.119845898,0.203957286,0.101190192,0.655730628,0.595394415,automl\lightGBM_AutoMl2023_2317
697,0.95,9,19,0.6,0.3,5,60,0.884807673,0.94535552,0.092889063,0.124648601,0.077440079,0.140912573,0.882621711,0.775846548,automl\lightGBM_AutoMl2021_697,0.807813456,0.887147426,0.102602557,0.112917834,0.136322342,0.10729697,0.699115044,0.612461,automl\lightGBM_AutoMl2023_697
739,0.95,9,19,0.7,0.3,5,60,0.884807673,0.94535552,0.092889063,0.124648601,0.077440079,0.140912573,0.882621711,0.775846548,automl\lightGBM_AutoMl2021_739,0.807813456,0.887147426,0.102602557,0.112917834,0.136322342,0.10729697,0.699115044,0.612461,automl\lightGBM_AutoMl2023_739
781,0.95,9,19,0.8,0.3,5,60,0.884807673,0.94535552,0.092889063,0.124648601,0.077440079,0.140912573,0.882621711,0.775846548,automl\lightGBM_AutoMl2021_781,0.807813456,0.887147426,0.102602557,0.112917834,0.136322342,0.10729697,0.699115044,0.612461,automl\lightGBM_AutoMl2023_781
