,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,16
1628,0.2,4,1.1,0.5,0.5,1,1,0.805708664,0.872456023,0.113923323,0.104206673,0.07464962,0.111251118,0.641347905,0.613227674,automl\Xgboost_AutoMl_1628
482,0.075,5,1.1,1,1,0.8,1,0.799493941,0.863455394,0.105551918,0.084748402,0.064662338,0.088419868,0.575318761,0.613152148,automl\Xgboost_AutoMl_482
484,0.075,5,1.1,1,1,1,0.8,0.799493941,0.863455394,0.105551918,0.084748402,0.064662338,0.088419868,0.575318761,0.613152148,automl\Xgboost_AutoMl_484
1335,0.1,6,0.8,0.8,0.8,0.8,0.5,0.806811283,0.888569465,0.115558955,0.124271057,0.092963797,0.132604342,0.672040073,0.613051967,automl\Xgboost_AutoMl_1335
269,0.075,5,0.5,0.5,1,1,1,0.801198309,0.901397426,0.097770373,0.096338428,0.085257488,0.098336555,0.572131148,0.613027568,automl\Xgboost_AutoMl_269
2155,0.2,6,1.1,0.8,1,0.8,0.8,0.80789921,0.886654152,0.106661445,0.100611734,0.094455744,0.102125425,0.649544627,0.612925404,automl\Xgboost_AutoMl_2155
282,0.075,5,0.5,0.8,0.8,0.8,0.5,0.800987193,0.889136123,0.108607423,0.108451077,0.068451266,0.116236214,0.589526412,0.612770389,automl\Xgboost_AutoMl_282
687,0.075,6,1.1,0.8,0.8,0.8,0.5,0.808284245,0.890906604,0.108902713,0.105580264,0.062581383,0.115178922,0.623315118,0.612548107,automl\Xgboost_AutoMl_687
820,0.1,4,0.8,0.5,0.8,0.5,0.8,0.79350163,0.912493962,0.097492848,0.112128705,0.12224888,0.110334757,0.567850638,0.612535613,automl\Xgboost_AutoMl_820
1016,0.1,5,0.5,0.8,0.8,1,1,0.806575662,0.880487692,0.105908614,0.092477762,0.039488465,0.102576847,0.584335155,0.612505967,automl\Xgboost_AutoMl_1016
2136,0.2,6,1.1,0.8,0.5,0.8,0.5,0.807614193,0.886081314,0.111702099,0.110454867,0.091954339,0.115215197,0.66147541,0.612239737,automl\Xgboost_AutoMl_2136
335,0.075,5,0.8,0.5,0.8,0.5,1,0.804258194,0.891430364,0.107513647,0.105787386,0.08456738,0.110468888,0.619854281,0.612132932,automl\Xgboost_AutoMl_335
339,0.075,5,0.8,0.5,0.8,1,0.5,0.804258194,0.891430364,0.107513647,0.105787386,0.08456738,0.110468888,0.619854281,0.612132932,automl\Xgboost_AutoMl_339
1373,0.1,6,0.8,1,1,0.8,1,0.810981195,0.889152326,0.100041722,0.074174721,0.079968833,0.07290018,0.618943534,0.611976587,automl\Xgboost_AutoMl_1373
1375,0.1,6,0.8,1,1,1,0.8,0.810981195,0.889152326,0.100041722,0.074174721,0.079968833,0.07290018,0.618943534,0.611976587,automl\Xgboost_AutoMl_1375
994,0.1,5,0.5,0.5,1,0.8,0.8,0.802318134,0.873046652,0.109453682,0.095666485,0.054910407,0.103608153,0.588979964,0.61191276,automl\Xgboost_AutoMl_994
911,0.1,4,1.1,0.5,1,0.5,1,0.796749681,0.90090169,0.10186025,0.106016987,0.100859761,0.106969755,0.576502732,0.611830659,automl\Xgboost_AutoMl_911
915,0.1,4,1.1,0.5,1,1,0.5,0.796749681,0.90090169,0.10186025,0.106016987,0.100859761,0.106969755,0.576502732,0.611830659,automl\Xgboost_AutoMl_915
162,0.075,4,1.1,0.5,0.5,0.5,0.5,0.792508414,0.924389342,0.094393602,0.124554446,0.131363059,0.123336141,0.569216758,0.611755494,automl\Xgboost_AutoMl_162
401,0.075,5,0.8,1,1,0.8,1,0.798773057,0.867795482,0.107066977,0.094388427,0.060757826,0.100576488,0.575409836,0.611646256,automl\Xgboost_AutoMl_401
403,0.075,5,0.8,1,1,1,0.8,0.798773057,0.867795482,0.107066977,0.094388427,0.060757826,0.100576488,0.575409836,0.611646256,automl\Xgboost_AutoMl_403
1785,0.2,5,0.8,0.5,0.5,0.8,0.5,0.80039673,0.907033248,0.099516695,0.100365274,0.081538297,0.103679192,0.565300546,0.611466851,automl\Xgboost_AutoMl_1785
1757,0.2,5,0.5,1,0.5,0.5,1,0.801903598,0.877686374,0.125697479,0.142324428,0.147342824,0.140658283,0.737795993,0.611303954,automl\Xgboost_AutoMl_1757
