,学习率,最大树深度,最小采样叶子节点,样本采样率,最大叶子节点,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,13
1375,0.1,6,7,0.9,13,0.853428375,0.928738604,0.103154246,0.150756238,0.12424053,0.159921355,0.865482696,0.704499963,automl\GBM_AutoMl_1375
903,0.0875,4,4,0.7,12,0.853369345,0.91946723,0.108185617,0.141064834,0.088354179,0.158306343,0.838797814,0.699555657,automl\GBM_AutoMl_903
269,0.05,8,5,1,14,0.85335287,0.932232713,0.087852957,0.11608651,0.044619633,0.131800376,0.722222222,0.714221382,automl\GBM_AutoMl_269
1157,0.0875,8,5,0.6,14,0.853258698,0.915639805,0.103307031,0.129845702,0.053961429,0.151170839,0.788433515,0.702593028,automl\GBM_AutoMl_1157
1473,0.1,8,6,0.7,12,0.853183189,0.921523611,0.106212408,0.151160046,0.097268715,0.168702513,0.845537341,0.706679353,automl\GBM_AutoMl_1473
6,0.05,4,4,0.8,12,0.853157422,0.909793497,0.105740911,0.128235285,0.053439908,0.147927062,0.780874317,0.715692821,automl\GBM_AutoMl_6
1336,0.1,6,5,0.6,13,0.853150734,0.9154285,0.098577663,0.125891108,0.063581637,0.142126781,0.776593807,0.714932506,automl\GBM_AutoMl_1336
1037,0.0875,6,5,0.6,14,0.853140681,0.918944035,0.106002562,0.146822517,0.10437324,0.1606093,0.847814208,0.709284163,automl\GBM_AutoMl_1037
1329,0.1,6,4,0.9,12,0.853127115,0.924859513,0.101227649,0.132564786,0.097005618,0.143799256,0.825591985,0.699109243,automl\GBM_AutoMl_1329
303,0.0625,4,4,0.7,12,0.852981753,0.924287436,0.10437023,0.141667737,0.101207271,0.154216627,0.831238616,0.709609703,automl\GBM_AutoMl_303
24,0.05,4,5,0.9,12,0.852955735,0.909404399,0.108779663,0.130414887,0.059527111,0.151776013,0.808287796,0.698763877,automl\GBM_AutoMl_24
1142,0.0875,8,4,0.6,14,0.85295385,0.915964907,0.10037652,0.12528098,0.050891798,0.144227825,0.766120219,0.712187275,automl\GBM_AutoMl_1142
268,0.05,8,5,1,13,0.852929,0.933777373,0.08603853,0.112811085,0.058398155,0.124554914,0.721766849,0.719277546,automl\GBM_AutoMl_268
1067,0.0875,6,7,0.6,14,0.852859498,0.923138512,0.103609539,0.14557336,0.116405998,0.155241358,0.852641166,0.706966207,automl\GBM_AutoMl_1067
884,0.075,8,6,1,14,0.852837847,0.921686362,0.092469894,0.10995713,0.033391304,0.127296089,0.723952641,0.707206406,automl\GBM_AutoMl_884
946,0.0875,4,7,0.6,13,0.852817011,0.917017423,0.109256913,0.141983238,0.088986482,0.158712161,0.833788707,0.706322571,automl\GBM_AutoMl_946
